key,smiles,HOMO_exp,LUMO_exp,HOMO_calc,LUMO_calc
d6,O=C(N1C)C2=C(C3=CC=CC=C3)C4=C(C5=CC=C(C#N)C6=CC=CC4=C56)C(C7=CC=CC=C7)=C2C1=O,-6.24,-3.43,-6.6395,-3.2109
d7,O=C(N1C)C2=C(C3=C(C)C=CC=C3)C4=C(C5=CC=C(C#N)C6=CC=CC4=C56)C(C7=CC=CC=C7C)=C2C1=O,-6.27,-3.44,-6.6123,-3.2109
d8,O=C(N1C)C2=C(C3=CC=C(OC)C=C3)C4=C(C5=CC=C(C#N)C6=CC=CC4=C56)C(C7=CC=C(OC)C=C7)=C2C1=O,-6.04,-3.4,-6.0758,-3.1021
d5,O=C(N1C)C2=C(C3=CC=CS3)C4=C(C5=CC=C(C#N)C6=CC=CC4=C56)C(C7=CC=CS7)=C2C1=O,-6.23,-3.48,-6.4957,-3.2653
d9,O=C(N1C)C2=C(C3=CC(C=CC=C4)=C4C=C3)C5=C(C6=CC=C(C#N)C7=CC=CC5=C67)C(C8=CC=C(C=CC=C9)C9=C8)=C2C1=O,-6.15,-3.43,-6.1755,-3.1967
e1,CC(C1=C2C=CC=C1)(C)C3=C2C=CC(C4=CC=C(/C=C(C#N)/C#N)C5=NSN=C54)=C3,-6.2,-3.6,-6.1711,-3.663
e3,O=C(N1C)C2=CC(/C=C/C3=CC=C(/C=C/C4=CC=C(C(N5C)=O)C(C5=O)=C4)C6=NSN=C63)=CC=C2C1=O,-5.77,-3.3,-5.9171,-3.4606
e4,O=C(C(C=C1)=C2C(C=CC=C2C3=O)=C1/C=C/C4=CC=C(/C=C/C5=C(C=CC=C6C(N7C)=O)C6=C(C7=O)C=C5)C8=NSN=C84)N3C,-5.66,-3.35,-5.8699,-3.6069
e5,CC(C=C(C1=C(C2=CC3=NSN=C3C=C2)C=CC4=NSN=C41)S5)=C5C(C=C6)=CC=C6N(C7=CC=C(C(C8=NSN=C89)=CC(C%10=CC%11=NSN=C%11C=C%10)=C9C%12=CC(C)=CS%12)C=C7)C%13=CC=C(C(C%14=NSN=C%14%15)=CC(C%16=CC%17=NSN=C%17C=C%16)=C%15C%18=CC(C)=CS%18)C=C%13,-5.48,-3.1,-5.0992,-2.9447
d3,C[Si]1(C)C2=C(C=CC(C(S3)=CC=C3C(N4C)=C(C(C4=O)=C(N5C)C6=CC=CS6)C5=O)=C2)C7=C1C=C(C8=CC=C(C(N9C)=C%10C(C9=O)=C(C%11=CC=CS%11)N(C%10=O)C)S8)C=C7,-5.3,-3.28,-4.9672,-2.9744
